track_id,track_name,artists,track_genre,vibe,popularity,danceability,energy,valence,tempo,acousticness,speechiness,liveness,instrumentalness,loudness,duration_min
5VTbVMwMwfQP2iLkiULsd8,Evolution Is Here,Coone,hardstyle,Energetic & Danceable,22,0.592,0.962,0.307,150.093,0.0371,0.0985,0.352,0.02,-3.908,3.927
0zXurdHOhvroWl8TVZKsdJ,The Place That I Call Home,The Infamous Stringdusters,bluegrass,Energetic & Danceable,22,0.544,0.73,0.622,128.775,0.131,0.0288,0.0908,0.00674,-6.181,3.879
6uAc3CapexgFoHkzAkBYCQ,Asesinos,Rata Blanca,heavy-metal,Energetic & Danceable,22,0.37,0.826,0.338,123.482,0.001,0.0427,0.0694,0.0281,-6.05,5.33
1DwOlh5XrK8NCKvGDaEPLA,Uncloudy Day,The Stanley Brothers,bluegrass,Acoustic & Mellow,22,0.605,0.285,0.49,97.537,0.669,0.0265,0.137,0.0,-10.787,1.986
65tjNM5AfgoXv4fK6hl57g,Come Take My Hand - Original,Coone;Ambassador Inc,hardstyle,Energetic & Danceable,22,0.615,0.731,0.361,149.999,0.00617,0.0526,0.0619,0.00163,-6.418,4.864
5r4v7vHpyWBDdMm7DVBJum,Mandatory Self-Deprecation Jokes About Therapy,Joe DeRosa,comedy,Acoustic & Mellow,22,0.517,0.821,0.466,84.066,0.814,0.927,0.688,0.0,-7.161,5.754
46EuI5GoRkV8kL56OSrUBl,"Money,Pussy, And Drugs",Mountain Sprout,bluegrass,Acoustic & Mellow,22,0.559,0.639,0.736,99.468,0.714,0.0431,0.283,0.000115,-8.186,4.44
0snTPp0nuRRb0Z0D2EVWfJ,Burps and Farts (Jfl 2000),Carl Barron,comedy,Acoustic & Mellow,22,0.543,0.812,0.0599,96.715,0.821,0.932,0.85,0.0,-16.197,3.293
5esOXdFE06M85EPjSFXBxa,Can Believe,Popcaan,j-dance,Energetic & Danceable,22,0.606,0.688,0.578,105.187,0.296,0.284,0.288,0.0,-5.316,2.642
0GWVDI8EviZQnzaegpwckU,D-Tuned,Headhunterz,hardstyle,Instrumental,22,0.726,0.7,0.339,142.988,0.00343,0.121,0.0713,0.367,-5.958,6.814
7oIq8nq5ft6cdFW16gN2pM,My Heaven Is Your Hell,Lordi,heavy-metal,Energetic & Danceable,22,0.489,0.864,0.655,135.074,1.08e-05,0.0462,0.0876,0.177,-4.68,3.683
66wkBfdMJE56vJInpBO84n,Cripple Creek,Flatt & Scruggs,bluegrass,Instrumental,22,0.425,0.887,0.966,134.796,0.27,0.0358,0.207,0.973,-8.117,2.081
3MCc7tM5TGti2SlyJ6AEY8,The Willing Host,His Hero Is Gone,grindcore,Instrumental,22,0.246,0.887,0.681,81.487,2.35e-06,0.0556,0.324,0.894,-12.088,1.229
3Ej5qXIGNVCeWjNOsnwO1U,Grocery Stores,Larry The Cable Guy,comedy,Acoustic & Mellow,22,0.562,0.805,0.209,96.854,0.788,0.957,0.897,0.0,-12.402,2.697
1iGry8sg9TLDC5EbkEp464,Gallemiezen,De Kraaien,hardstyle,Energetic & Danceable,22,0.699,0.685,0.612,178.054,0.118,0.146,0.0512,0.000335,-4.038,3.0
1IXoOVADQ00KT4NZclQ18s,Vanavond,OJKB,hardstyle,Energetic & Danceable,22,0.592,0.902,0.26,175.633,0.016,0.0435,0.0421,0.000376,-6.821,2.47
1ac1lmMzORX2H1nEywHxKg,Our Kingdom,Cryex,hardstyle,Energetic & Danceable,22,0.519,0.849,0.731,155.039,0.0132,0.0451,0.325,0.00497,-8.866,3.614
35UwQpJTCSa202yxmHPc1F,A Decade Of Dedication,D-Block & S-te-Fan;Villain;DV8,hardstyle,Energetic & Danceable,22,0.685,0.941,0.192,147.995,0.00794,0.106,0.119,0.00554,-3.373,7.088
4SE8nVCFLF7pkWX7meMp0D,The Oatmeal Song,Mike Birbiglia,comedy,Acoustic & Mellow,22,0.463,0.682,0.523,150.377,0.782,0.864,0.722,0.0,-8.097,3.425
5TfWUUGYoCo71BLsXPdji7,Black Earth,Weekend Nachos,grindcore,Energetic & Danceable,22,0.187,0.993,0.0666,102.145,1.3e-05,0.116,0.421,0.0229,-2.747,1.556
23vmapCqO8TIsAwiAulgHt,Gay Prom,Patton Oswalt,comedy,Acoustic & Mellow,22,0.676,0.306,0.44,144.213,0.739,0.957,0.683,0.0,-19.527,3.24
00mfpZJuEKEUOtzaLwyemV,Looking For A Reason,Ronnie Bowman,bluegrass,Acoustic & Mellow,22,0.599,0.681,0.863,121.144,0.577,0.0359,0.0847,0.0504,-9.474,2.671
0mHXma74Fq20pDZODwfGgq,Like Thiz,Josh & Wesz,hardstyle,Instrumental,22,0.669,0.935,0.0694,150.013,0.000631,0.136,0.137,0.346,-8.506,6.7
1PZWX2KGeH5jdVnMRMj27E,Sacrifice,Matzic,hardstyle,Energetic & Danceable,22,0.569,0.969,0.205,160.013,0.0372,0.319,0.179,6.23e-05,-3.59,3.006
5aydqaKSzdsbib2g0ZFgAL,Home Sweet Home,Bill Emerson,bluegrass,Acoustic & Instrumental,22,0.461,0.634,0.962,127.129,0.737,0.0329,0.307,0.97,-12.746,2.679
3KI5QyGd96HmeuJaYltmhZ,Get It Twisted,Dither;Warface,idm,Energetic & Danceable,22,0.617,0.956,0.0704,170.082,0.00042,0.0521,0.523,0.0166,-2.395,2.635
7jwDqFZI7o7hdRBR9R7tz5,Flying Flower,文章,cantopop,Acoustic & Mellow,22,0.491,0.118,0.137,82.409,0.783,0.0331,0.145,7.57e-05,-20.243,4.106
6XCHdn3EtW6FnVuE0yzx5B,Viva La Hardcore,Section 1,hardstyle,Energetic & Danceable,22,0.368,0.981,0.272,152.893,3.45e-05,0.0965,0.382,0.00193,-6.015,3.216
1ldV9pD6dxKPdVcLfaWr5c,Sweet Lei Lehua,The Maile Serenaders,guitar,Acoustic & Instrumental,22,0.504,0.451,0.908,112.439,0.762,0.0381,0.4,0.739,-15.078,1.839
54NLjntUle92cVAQvzBcXs,No Time To Waste - Official Defqon Anthem,Wildstylez,hardstyle,Instrumental,22,0.567,0.964,0.404,147.988,0.0061,0.0731,0.149,0.465,-5.664,8.568
3BIJsd9pvBi8MNNIv3KiMY,Boga Canoero,Ondatrópica,afrobeat,Acoustic & Mellow,22,0.648,0.68,0.959,115.9,0.549,0.105,0.0417,9.98e-06,-9.002,4.376
1Ud3ODiruIolajL3Bnq1ow,Resistencia,Horcas,heavy-metal,Energetic & Danceable,22,0.389,0.929,0.369,105.335,6.83e-05,0.0727,0.0879,0.00747,-5.712,5.329
0k4eJ29svqXvVT6gywwelF,Fabrica de monos,Mastifal,heavy-metal,Instrumental,22,0.486,0.949,0.372,97.511,1.05e-05,0.103,0.291,0.49,-5.068,3.948
3cCzgsUedVusANcpXXfpgF,El Hijo de Cuca,Asspera,heavy-metal,Energetic & Danceable,22,0.578,0.955,0.463,145.013,0.00192,0.203,0.383,0.0,-4.433,2.802
429MmIkH9lF0t0GgLvGQdf,En Dåres Försvarstal,Pst/Q;Martin från LOK,goth,Energetic & Danceable,22,0.678,0.643,0.919,178.009,0.33,0.408,0.116,0.0,-10.132,4.707
